 3.15185  2.40894E-11 -3.09102E-12 -2.38488E-11 -3.03938E-11 -5.12914E+00  3.15719E-04  5.12914E+00  3.15719E-04  4.44528E+00 -6.01032E-02  3.44532E+00 -1.75742E+00 -4.44528E+00 -6.01032E-02          NaN          NaN
 3.24426  3.14845E-12 -4.57989E-11 -2.38941E-11  1.74625E-11 -5.56851E+00  6.74115E-05  5.56851E+00  6.74115E-05  4.57559E+00 -6.18644E-02  3.54633E+00 -1.80894E+00 -4.57559E+00 -6.18644E-02          NaN          NaN
 3.33667 -3.67824E-11 -8.43239E-11  1.08308E-11  1.79481E-11 -6.01448E+00  1.37279E-05  6.01448E+00  1.37279E-05  4.70590E+00 -6.36254E-02  3.64735E+00 -1.86047E+00 -4.70590E+00 -6.36254E-02          NaN          NaN
 3.42907 -9.76314E-11 -9.00653E-11  7.00466E-11 -3.82985E-11 -6.46962E+00  2.63851E-06  6.46962E+00  2.63851E-06  4.83621E+00 -6.53864E-02  3.74836E+00 -1.91200E+00 -4.83621E+00 -6.53864E-02          NaN          NaN
 3.52148 -1.13758E-11 -4.59839E-11  5.45570E-11  4.06076E-11 -6.93553E+00  4.75619E-07  6.93553E+00  4.75619E-07  4.96652E+00 -6.71473E-02  3.84937E+00 -1.96352E+00 -4.96652E+00 -6.71473E-02          NaN          NaN
 3.61389  3.62137E-11 -1.93677E-12 -2.92855E-11  1.15226E-11 -7.41336E+00  8.00616E-08  7.41336E+00  8.00616E-08  5.09682E+00 -6.89081E-02  3.95038E+00 -2.01505E+00 -5.09682E+00 -6.89081E-02          NaN          NaN
 3.70630  4.12755E-11  4.21869E-11 -2.59009E-11 -1.62246E-11 -7.90397E+00  1.25454E-08  7.90397E+00  1.25454E-08  5.22713E+00 -7.06688E-02  4.05139E+00 -2.06658E+00 -5.22713E+00 -7.06688E-02          NaN          NaN
 3.79870  9.35723E-13  4.24967E-11  5.70819E-11 -4.54833E-11 -8.40805E+00  1.82815E-09  8.40805E+00  1.82816E-09  5.35743E+00 -7.24293E-02  4.15240E+00 -2.11811E+00 -5.35743E+00 -7.24293E-02          NaN          NaN
 3.89111 -4.53530E-11 -2.88156E-13  2.94811E-11 -9.12705E-12 -8.92622E+00  2.50821E-10  8.92622E+00  2.50819E-10  5.48773E+00 -7.41898E-02  4.25342E+00 -2.16963E+00 -5.48773E+00 -7.41898E-02          NaN          NaN
 3.98352 -6.52691E-11 -8.41294E-11 -8.81865E-11  9.48077E-11 -9.45900E+00 -5.42731E-12  9.45900E+00 -5.42734E-12  5.61803E+00 -7.59502E-02  4.35443E+00 -2.22116E+00 -5.61803E+00 -7.59502E-02          NaN          NaN
 4.07593 -1.38984E-11 -1.94021E-11  1.10098E-11  1.96495E-11 -1.00069E+01 -8.34733E-11  1.00069E+01 -8.34630E-11  5.74832E+00 -7.77105E-02  4.45544E+00 -2.27269E+00 -5.74832E+00 -7.77105E-02          NaN          NaN
 4.16833  3.34822E-11  5.07621E-12 -5.58595E-11 -1.90852E-11 -1.05703E+01 -3.68026E-10  1.05703E+01 -3.68028E-10  5.87862E+00 -7.94707E-02  4.55645E+00 -2.32422E+00 -5.87862E+00 -7.94707E-02          NaN          NaN
 4.26074  2.85121E-11 -1.45715E-12 -2.43921E-11  1.78944E-11 -1.11498E+01 -1.37346E-09  1.11498E+01 -1.37346E-09  6.00891E+00 -8.12307E-02  4.65746E+00 -2.37575E+00 -6.00891E+00 -8.12307E-02          NaN          NaN
 4.35315 -4.27949E-12 -1.89663E-11 -3.05094E-12  1.64731E-11 -1.17456E+01 -4.67258E-09  1.17456E+01 -4.67258E-09  6.13920E+00 -8.29907E-02  4.75848E+00 -2.42728E+00 -6.13920E+00 -8.29907E-02          NaN          NaN
 4.44556 -5.82724E-11 -3.29467E-11  1.06060E-11 -2.08216E-11 -1.23584E+01 -1.46954E-08  1.23584E+01 -1.46954E-08  6.26949E+00 -8.47505E-02  4.85949E+00 -2.47881E+00 -6.26949E+00 -8.47505E-02          NaN          NaN
 4.53796 -5.39719E-11 -1.31250E-12  1.30511E-11 -8.30480E-11 -1.29884E+01 -4.30562E-08  1.29884E+01 -4.30562E-08  6.39978E+00 -8.65102E-02  4.96050E+00 -2.53034E+00 -6.39978E+00 -8.65102E-02          NaN          NaN
 4.63037  7.15683E-12  6.92680E-11 -9.68506E-13 -3.58687E-11 -1.36362E+01 -1.18224E-07  1.36362E+01 -1.18224E-07  6.53006E+00 -8.82698E-02  5.06151E+00 -2.58187E+00 -6.53006E+00 -8.82698E-02          NaN          NaN
 4.72278  2.07634E-11  8.74841E-12  2.52521E-11 -1.11888E-11 -1.43021E+01 -3.05789E-07  1.43021E+01 -3.05789E-07  6.66035E+00 -9.00293E-02  5.16253E+00 -2.63340E+00 -6.66035E+00 -9.00293E-02          NaN          NaN
 4.81519  4.97441E-13 -3.82224E-11  9.24980E-11  1.70019E-11 -1.49866E+01 -7.48457E-07  1.49866E+01 -7.48457E-07  6.79063E+00 -9.17886E-02  5.26354E+00 -2.68493E+00 -6.79063E+00 -9.17886E-02          NaN          NaN
 4.90759 -2.34344E-11 -5.45163E-11  3.85691E-11  1.43566E-11 -1.56902E+01 -1.74074E-06  1.56902E+01 -1.74074E-06  6.92091E+00 -9.35478E-02  5.36455E+00 -2.73646E+00 -6.92091E+00 -9.35478E-02          NaN          NaN
